令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
19364 早川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19365 身延町　　　　,3,-,3,3,-,2,261,-,-,-,150,111,-
19366 南部町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19368 富士川町　　　,2,-,2,-,-,2,198,-,4,-,-,194,-
1904　富士・東部　　　　　,8,2,6,3,-,6,1624,536,8,-,137,943,-
19202 富士吉田市　　,1,-,1,1,-,1,310,-,4,-,50,256,-
19204 都留市　　　　,3,1,2,-,-,2,453,276,-,-,-,177,-
19206 大月市　　　　,1,-,1,1,-,1,197,-,4,-,42,151,-
19212 上野原市　　　,2,1,1,-,-,1,395,260,-,-,-,135,-
19422 道志村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19423 西桂町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19424 忍野村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19425 山中湖村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19429 鳴沢村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19430 富士河口湖町　,1,-,1,1,-,1,269,-,-,-,45,224,-
19442 小菅村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
19443 丹波山村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20　　長野県　,125,15,110,53,12,83,22954,4630,46,45,3235,14998,5073
2001　佐久　　　　　　　　,13,-,13,9,1,12,2383,330,4,-,362,1687,450
20208 小諸市　　　　,2,-,2,-,-,1,586,260,-,-,-,326,-
20217 佐久市　　　　,7,-,7,5,1,7,1340,70,4,-,202,1064,450
20303 小海町　　　　,1,-,1,1,-,1,99,-,-,-,49,50,-
20304 川上村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20305 南牧村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20306 南相木村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20307 北相木村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20309 佐久穂町　　　,1,-,1,1,-,1,97,-,-,-,45,52,-
20321 軽井沢町　　　,1,-,1,1,-,1,103,-,-,-,24,79,-
20323 御代田町　　　,1,-,1,1,-,1,158,-,-,-,42,116,-
20324 立科町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2002　上小　　　　　　　　,16,3,13,6,1,11,2514,557,4,-,577,1376,420
20203 上田市　　　　,13,2,11,6,1,9,2213,456,4,-,577,1176,420
20219 東御市　　　　,2,1,1,-,-,1,161,101,-,-,-,60,-
20349 青木村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20350 長和町　　　　,1,-,1,-,-,1,140,-,-,-,-,140,-
2003　諏訪　　　　　　　　,11,1,10,5,1,6,1960,212,4,-,212,1532,455
20204 岡谷市　　　　,3,-,3,2,-,2,589,105,4,-,74,406,-
20206 諏訪市　　　　,3,1,2,1,1,1,580,107,-,-,48,425,455
20214 茅野市　　　　,1,-,1,1,-,1,360,-,-,-,36,324,-
20361 下諏訪町　　　,3,-,3,1,-,1,270,-,-,-,54,216,-
20362 富士見町　　　,1,-,1,-,-,1,161,-,-,-,-,161,-
20363 原村　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2004　上伊那　　　　　　　,10,3,7,3,1,3,1573,330,4,-,274,965,394
20209 伊那市　　　　,4,1,3,2,1,1,749,116,4,-,166,463,394
20210 駒ヶ根市　　　,3,1,2,-,-,1,475,129,-,-,-,346,-
20382 辰野町　　　　,1,-,1,-,-,1,100,-,-,-,-,100,-
20383 箕輪町　　　　,1,-,1,1,-,-,164,-,-,-,108,56,-
20384 飯島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20385 南箕輪村　　　,1,1,-,-,-,-,85,85,-,-,-,-,-
20386 中川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20388 宮田村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2005　飯伊　　　　　　　　,9,-,9,5,1,9,1572,235,4,-,262,1071,407
20205 飯田市　　　　,6,-,6,3,1,6,1340,235,4,-,248,853,407
20402 松川町　　　　,1,-,1,1,-,1,72,-,-,-,6,66,-
20403 高森町　　　　,1,-,1,1,-,1,75,-,-,-,8,67,-
20404 阿南町　　　　,1,-,1,-,-,1,85,-,-,-,-,85,-
20407 阿智村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20409 平谷村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20410 根羽村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20411 下條村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20412 売木村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20413 天龍村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20414 泰阜村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20415 喬木村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20416 豊丘村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20417 大鹿村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2006　木曽　　　　　　　　,1,-,1,1,-,1,197,-,4,-,19,174,-
20422 上松町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20423 南木曽町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20425 木祖村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20429 王滝村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20430 大桑村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20432 木曽町　　　　,1,-,1,1,-,1,197,-,4,-,19,174,-
2007　松本　　　　　　　　,26,5,21,7,4,16,5004,1175,6,21,417,3385,1434
20202 松本市　　　　,16,3,13,3,2,9,3606,835,6,21,168,2576,918
20215 塩尻市　　　　,5,-,5,3,-,4,415,-,-,-,201,214,-
20220 安曇野市　　　,5,2,3,1,2,3,983,340,-,-,48,595,516
20446 麻績村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20448 生坂村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20450 山形村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20451 朝日村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20452 筑北村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2008　大北　　　　　　　　,2,-,2,1,-,2,523,120,4,-,48,351,-
20212 大町市　　　　,1,-,1,1,-,1,199,-,4,-,48,147,-
20481 池田町　　　　,1,-,1,-,-,1,324,120,-,-,-,204,-
20482 松川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20485 白馬村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20486 小谷村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2009　長野　　　　　　　　,34,3,31,14,3,21,6405,1531,8,24,982,3860,1513
20201 長野市　　　　,25,2,23,8,3,14,4962,1435,4,-,596,2927,1513
20207 須坂市　　　　,2,-,2,1,-,2,419,-,4,24,76,315,-
20218 千曲市　　　　,4,1,3,2,-,2,611,96,-,-,150,365,-
20521 坂城町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20541 小布施町　　　,1,-,1,1,-,1,155,-,-,-,59,96,-
20543 高山村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20583 信濃町　　　　,1,-,1,1,-,1,97,-,-,-,50,47,-
20588 小川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20590 飯綱町　　　　,1,-,1,1,-,1,161,-,-,-,51,110,-
2010　北信　　　　　　　　,3,-,3,2,-,2,823,140,4,-,82,597,-
20211 中野市　　　　,2,-,2,1,-,1,539,140,4,-,38,357,-
20213 飯山市　　　　,1,-,1,1,-,1,284,-,-,-,44,240,-
20561 山ノ内町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20562 木島平村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20563 野沢温泉村　　,-,-,-,-,-,-,-,-,-,-,-,-,-
20602 栄村　　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21　　岐阜県　,97,12,85,46,9,64,19661,3819,30,101,2864,12847,4698
2101　岐阜　　　　　　　　,40,3,37,19,5,27,8278,1148,8,40,1334,5748,2329
21201 岐阜市　　　　,32,3,29,15,3,22,6430,1021,8,30,1033,4338,1496
21209 羽島市　　　　,1,-,1,-,-,1,281,-,-,10,-,271,-
21213 各務原市　　　,4,-,4,2,1,2,665,127,-,-,130,408,332
21215 山県市　　　　,1,-,1,1,-,1,284,-,-,-,54,230,-
21216 瑞穂市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21218 本巣市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21302 岐南町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21303 笠松町　　　　,2,-,2,1,1,1,618,-,-,-,117,501,501
21421 北方町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2102　西濃　　　　　　　　,15,3,12,8,1,10,3485,986,6,40,563,1890,903
21202 大垣市　　　　,8,1,7,4,1,5,1986,503,6,40,265,1172,903
21221 海津市　　　　,2,1,1,-,-,1,275,176,-,-,-,99,-
21341 養老町　　　　,1,-,1,1,-,1,259,-,-,-,63,196,-
21361 垂井町　　　　,2,1,1,1,-,1,588,307,-,-,138,143,-
21362 関ケ原町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21381 神戸町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21382 輪之内町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21383 安八町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21401 揖斐川町　　　,1,-,1,1,-,1,281,-,-,-,52,229,-
21403 大野町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21404 池田町　　　　,1,-,1,1,-,1,96,-,-,-,45,51,-
2103　中濃　　　　　　　　,19,2,17,10,1,14,3382,705,6,-,478,2193,502
21205 関市　　　　　,2,-,2,1,-,2,645,-,6,-,50,589,-
21207 美濃市　　　　,1,-,1,-,-,1,122,-,-,-,-,122,-
21211 美濃加茂市　　,4,1,3,1,1,3,1051,310,-,-,30,711,502
21214 可児市　　　　,4,-,4,2,-,3,506,-,-,-,120,386,-
21219 郡上市　　　　,5,1,4,3,-,3,811,395,-,-,117,299,-
21501 坂祝町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21502 富加町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21503 川辺町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21504 七宗町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21505 八百津町　　　,1,-,1,1,-,-,48,-,-,-,48,-,-
21506 白川町　　　　,1,-,1,1,-,1,124,-,-,-,65,59,-
21507 東白川村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
21521 御嵩町　　　　,1,-,1,1,-,1,75,-,-,-,48,27,-
2104　東濃　　　　　　　　,14,2,12,5,1,8,2877,576,6,13,258,2024,570
21204 多治見市　　　,4,-,4,2,1,3,920,42,6,13,70,789,570
21206 中津川市　　　,2,-,2,1,-,1,440,-,-,-,80,360,-
21208 瑞浪市　　　　,3,1,2,1,-,1,626,308,-,-,48,270,-
21210 恵那市　　　　,2,-,2,-,-,2,255,-,-,-,-,255,-
21212 土岐市　　　　,3,1,2,1,-,1,636,226,-,-,60,350,-
2105　飛騨　　　　　　　　,9,2,7,4,1,5,1639,404,4,8,231,992,394
21203 高山市　　　　,4,1,3,1,1,2,1055,261,4,8,100,682,394
21217 飛騨市　　　　,2,-,2,2,-,1,136,-,-,-,82,54,-
21220 下呂市　　　　,3,1,2,1,-,2,448,143,-,-,49,256,-
21604 白川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
22　　静岡県　,170,31,139,79,23,74,36273,6501,48,96,8684,20944,11461
2201　賀茂　　　　　　　　,8,2,6,2,-,5,1215,438,4,-,299,474,-
22219 下田市　　　　,2,-,2,1,-,1,238,-,4,-,100,134,-
22301 東伊豆町　　　,2,-,2,1,-,2,359,-,-,-,199,160,-
22302 河津町　　　　,2,1,1,-,-,1,290,190,-,-,-,100,-
22304 南伊豆町　　　,1,1,-,-,-,-,248,248,-,-,-,-,-
22305 松崎町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
22306 西伊豆町　　　,1,-,1,-,-,1,80,-,-,-,-,80,-
2202　熱海伊東　　　　　　,6,-,6,4,1,3,974,-,4,-,246,724,250
22205 熱海市　　　　,5,-,5,4,-,2,724,-,4,-,246,474,-
22208 伊東市　　　　,1,-,1,-,1,1,250,-,-,-,-,250,250
2203　駿東田方　　　　　　,46,5,41,21,3,22,7420,1156,6,-,1744,4514,1414
22203 沼津市　　　　,10,2,8,3,1,5,1723,563,-,-,243,917,387
22206 三島市　　　　,6,1,5,3,-,3,868,203,-,-,234,431,-
22215 御殿場市　　　,7,-,7,3,-,4,988,-,-,-,216,772,-
22220 裾野市　　　　,2,-,2,1,-,1,198,-,6,-,94,98,-
22222 伊豆市　　　　,5,-,5,5,-,3,646,-,-,-,480,166,-
22225 伊豆の国市　　,6,-,6,3,1,2,981,-,-,-,264,717,577
22325 函南町　　　　,3,1,2,1,-,-,572,313,-,-,109,150,-
22341 清水町　　　　,2,-,2,-,1,2,515,-,-,-,-,515,450
22342 長泉町　　　　,2,-,2,1,-,1,703,-,-,-,44,659,-
22344 小山町　　　　,3,1,2,1,-,1,226,77,-,-,60,89,-
2204　富士　　　　　　　　,17,5,12,7,2,7,3383,903,6,10,789,1675,900
22207 富士宮市　　　,5,2,3,2,1,2,1060,410,-,-,130,520,380
22210 富士市　　　　,12,3,9,5,1,5,2323,493,6,10,659,1155,520
2205　静岡　　　　　　　　,27,5,22,12,6,10,7237,961,6,50,1763,4457,3006
22101 葵区　　　　　,16,3,13,7,4,5,4242,612,6,50,898,2676,1962
22102 駿河区　　　　,4,-,4,3,1,2,1309,-,-,-,364,945,581
22103 清水区　　　　,7,2,5,2,1,3,1686,349,-,-,501,836,463
2206　志太榛原　　　　　　,13,2,11,8,3,7,3852,423,6,8,995,2420,1571
22209 島田市　　　　,1,-,1,1,1,1,536,20,6,8,35,467,536
22212 焼津市　　　　,5,1,4,2,1,3,1405,180,-,-,304,921,471
22214 藤枝市　　　　,5,1,4,3,1,2,1281,170,-,-,434,677,564
22226 牧之原市　　　,1,-,1,1,-,1,450,53,-,-,42,355,-
22424 吉田町　　　　,1,-,1,1,-,-,180,-,-,-,180,-,-
22429 川根本町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2207　中東遠　　　　　　　,19,5,14,9,2,5,3548,877,6,-,1043,1622,1000
22211 磐田市　　　　,9,3,6,4,1,1,1469,429,2,-,490,548,500
22213 掛川市　　　　,5,2,3,2,1,1,1180,390,4,-,290,496,500
22216 袋井市　　　　,2,-,2,2,-,-,309,-,-,-,209,100,-
22223 御前崎市　　　,1,-,1,1,-,1,199,-,-,-,54,145,-
22224 菊川市　　　　,1,-,1,-,-,1,260,58,-,-,-,202,-
22461 森町　　　　　,1,-,1,-,-,1,131,-,-,-,-,131,-
2208　西部　　　　　　　　,34,7,27,16,6,15,8644,1743,10,28,1805,5058,3320
22131 中区　　　　　,8,2,6,4,3,3,2626,469,6,-,281,1870,1756
22132 東区　　　　　,5,1,4,1,1,3,1304,173,-,-,60,1071,312
22133 西区　　　　　,3,-,3,2,-,-,298,-,-,-,238,60,-
22134 南区　　　　　,3,1,2,2,-,2,737,278,-,-,204,255,-
22135 北区　　　　　,4,1,3,2,1,1,1509,344,-,20,329,816,940
22136 浜北区　　　　,7,2,5,3,1,3,1636,479,-,8,484,665,312
22137 天竜区　　　　,2,-,2,1,-,1,205,-,4,-,165,36,-
22221 湖西市　　　　,2,-,2,1,-,2,329,-,-,-,44,285,-
23　　愛知県　,317,36,281,146,28,147,65937,12317,69,111,13207,40233,15979
2302　海部　　　　　　　　,11,2,9,6,1,4,2215,480,6,-,549,1180,540
23208 津島市　　　　,4,-,4,3,-,1,711,-,-,-,271,440,-
23232 愛西市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
23235 弥富市　　　　,2,-,2,1,1,1,660,-,6,-,120,534,540
23237 あま市　　　　,3,2,1,-,-,1,660,480,-,-,-,180,-
23424 大治町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
23425 蟹江町　　　　,2,-,2,2,-,1,184,-,-,-,158,26,-
23427 飛島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2304　尾張東部　　　　　　,19,3,16,6,2,9,5588,1273,6,25,716,3568,883
23204 瀬戸市　　　　,8,1,7,4,1,3,1471,140,6,25,503,797,633
23226 尾張旭市　　　,1,-,1,-,1,1,250,-,-,-,-,250,250
23229 豊明市　　　　,3,1,2,1,-,1,1987,575,-,-,28,1384,-
23230 日進市　　　　,3,-,3,1,-,2,387,-,-,-,185,202,-
23238 長久手市　　　,2,-,2,-,-,2,958,47,-,-,-,911,-
23302 東郷町　　　　,2,1,1,-,-,-,535,511,-,-,-,24,-
2305　尾張西部　　　　　　,20,1,19,7,2,11,4610,925,6,18,654,3007,973
23203 一宮市　　　　,16,1,15,6,2,8,3641,604,6,18,594,2419,973
23220 稲沢市　　　　,4,-,4,1,-,3,969,321,-,-,60,588,-
2306　尾張北部　　　　　　,26,4,22,16,3,9,5975,1139,6,-,1429,3401,1762
23206 春日井市　　　,13,2,11,9,1,3,2671,527,6,-,779,1359,558
23215 犬山市　　　　,5,1,4,2,-,1,915,373,-,-,206,336,-
23217 江南市　　　　,3,1,2,1,1,1,1048,239,-,-,87,722,684
23219 小牧市　　　　,3,-,3,2,1,2,810,-,-,-,170,640,520
23228 岩倉市　　　　,1,-,1,1,-,1,141,-,-,-,21,120,-
23361 大口町　　　　,1,-,1,1,-,1,390,-,-,-,166,224,-
23362 扶桑町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2307　知多半島　　　　　　,18,3,15,7,2,10,3904,860,8,-,493,2543,967
23205 半田市　　　　,4,1,3,1,1,1,919,298,-,-,82,539,499
23216 常滑市　　　　,1,-,1,-,-,1,266,-,2,-,-,264,-
23222 東海市　　　　,2,-,2,-,1,2,708,-,-,-,-,708,468
23223 大府市　　　　,3,-,3,1,-,2,849,186,-,-,80,583,-
23224 知多市　　　　,2,-,2,2,-,-,284,-,-,-,180,104,-
23441 阿久比町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
23442 東浦町　　　　,1,1,-,-,-,-,158,158,-,-,-,-,-
23445 南知多町　　　,1,1,-,-,-,-,218,218,-,-,-,-,-
23446 美浜町　　　　,2,-,2,1,-,2,310,-,6,-,31,273,-
23447 武豊町　　　　,2,-,2,2,-,2,192,-,-,-,120,72,-
2308　西三河北部　　　　　,20,4,16,7,2,11,3517,729,6,-,641,2141,1133
23211 豊田市　　　　,18,4,14,5,2,9,3222,729,6,-,467,2020,1133
23236 みよし市　　　,2,-,2,2,-,2,295,-,-,-,174,121,-
2309　西三河南部西　　　　,22,2,20,14,2,14,4784,393,6,-,1227,3158,1475
23209 碧南市　　　　,4,-,4,2,-,4,608,-,-,-,114,494,-
23210 刈谷市　　　　,7,1,6,4,1,2,1485,207,6,-,443,829,704
23212 安城市　　　　,3,1,2,1,1,2,1377,186,-,-,104,1087,771
23213 西尾市　　　　,5,-,5,4,-,4,892,-,-,-,371,521,-
23225 知立市　　　　,2,-,2,2,-,2,280,-,-,-,101,179,-
23227 高浜市　　　　,1,-,1,1,-,-,142,-,-,-,94,48,-
2310　西三河南部東　　　　,16,3,13,6,1,5,3162,706,-,-,716,1740,680
23202 岡崎市　　　　,15,2,13,6,1,5,2706,250,-,-,716,1740,680
23501 幸田町　　　　,1,1,-,-,-,-,456,456,-,-,-,-,-
2311　東三河北部　　　　　,3,-,3,2,-,1,299,-,-,-,100,199,-
23221 新城市　　　　,3,-,3,2,-,1,299,-,-,-,100,199,-
23561 設楽町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
23562 東栄町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
23563 豊根村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2312　東三河南部　　　　　,37,4,33,21,2,18,7310,1393,10,18,2462,3427,1301
23201 豊橋市　　　　,21,4,17,9,1,9,4933,1328,10,10,1579,2006,800
23207 豊川市　　　　,12,-,12,9,1,6,1363,65,-,8,569,721,501
23214 蒲郡市　　　　,3,-,3,2,-,2,698,-,-,-,259,439,-
23231 田原市　　　　,1,-,1,1,-,1,316,-,-,-,55,261,-
2313　名古屋・尾張中部　　,125,10,115,54,11,55,24573,4419,15,50,4220,15869,6265
23101 千種区　　　　,12,2,10,3,1,5,2094,481,10,-,132,1471,520
23102 東区　　　　　,3,-,3,2,-,2,312,-,-,-,152,160,-
23103 北区　　　　　,11,1,10,4,1,5,1622,223,-,-,286,1113,500
23104 西区　　　　　,6,-,6,3,-,2,908,-,3,-,308,597,-
23105 中村区　　　　,10,1,9,4,1,3,2188,345,-,-,537,1306,852
23106 中区　　　　　,8,-,8,3,2,3,1482,38,-,-,196,1248,982
23107 昭和区　　　　,6,1,5,-,1,4,2354,229,2,-,-,2123,806
23108 瑞穂区　　　　,6,-,6,2,-,1,1104,28,-,-,61,1015,-
23109 熱田区　　　　,5,-,5,2,-,4,797,-,-,-,215,582,-
23110 中川区　　　　,13,1,12,7,2,5,2538,651,-,-,485,1402,972
23111 港区　　　　　,5,-,5,4,1,4,1061,-,-,-,270,791,556
23112 南区　　　　　,12,2,10,4,1,7,2215,456,-,10,257,1492,661
23113 守山区　　　　,7,2,5,3,-,1,1966,1498,-,-,192,276,-
23114 緑区　　　　　,5,-,5,1,-,5,965,-,-,-,106,859,-
23115 名東区　　　　,7,-,7,5,-,1,864,-,-,40,222,602,-
23116 天白区　　　　,5,-,5,3,1,1,1392,470,-,-,398,524,416
23233 清須市　　　　,2,-,2,2,-,1,280,-,-,-,160,120,-
23234 北名古屋市　　,2,-,2,2,-,1,431,-,-,-,243,188,-
23342 豊山町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24　　三重県　,93,12,81,47,17,55,19169,4570,32,30,3525,11012,6452
2401　北勢　　　　　　　　,41,7,34,19,6,23,7873,2078,14,-,1507,4274,2425
24202 四日市市　　　,13,1,12,8,3,9,3028,654,14,-,597,1763,1186
24205 桑名市　　　　,8,1,7,4,1,5,1223,222,-,-,352,649,400
24207 鈴鹿市　　　　,10,2,8,2,2,5,2076,539,-,-,237,1300,839
24210 亀山市　　　　,3,-,3,2,-,1,245,-,-,-,155,90,-
24214 いなべ市　　　,4,1,3,2,-,2,582,174,-,-,82,326,-
24303 木曽岬町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24324 東員町　　　　,2,2,-,-,-,-,489,489,-,-,-,-,-
24341 菰野町　　　　,1,-,1,1,-,1,230,-,-,-,84,146,-
24343 朝日町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24344 川越町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2402　中勢伊賀　　　　　　,28,4,24,13,4,17,5586,1268,8,30,775,3505,1302
24201 津市　　　　　,22,3,19,11,1,14,4213,858,8,30,695,2622,486
24208 名張市　　　　,2,-,2,1,1,1,295,-,-,-,40,255,200
24216 伊賀市　　　　,4,1,3,1,2,2,1078,410,-,-,40,628,616
2403　南勢志摩　　　　　　,19,-,19,11,6,12,4625,904,6,-,908,2807,2481
24203 伊勢市　　　　,4,-,4,2,2,4,1243,9,4,-,213,1017,947
24204 松阪市　　　　,7,-,7,4,3,3,2390,795,2,-,322,1271,1198
24211 鳥羽市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24215 志摩市　　　　,3,-,3,2,1,2,473,100,-,-,90,283,336
24441 多気町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24442 明和町　　　　,2,-,2,1,-,1,309,-,-,-,180,129,-
24443 大台町　　　　,1,-,1,1,-,1,110,-,-,-,53,57,-
24461 玉城町　　　　,1,-,1,1,-,-,50,-,-,-,50,-,-
24470 度会町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24471 大紀町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
24472 南伊勢町　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
2404　東紀州　　　　　　　,5,1,4,4,1,3,1085,320,4,-,335,426,244
24209 尾鷲市　　　　,1,-,1,1,-,1,255,-,-,-,56,199,-
24212 熊野市　　　　,1,1,-,-,-,-,320,320,-,-,-,-,-
24543 紀北町　　　　,2,-,2,2,-,1,266,-,-,-,239,27,-
24561 御浜町　　　　,1,-,1,1,1,1,244,-,4,-,40,200,244
24562 紀宝町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
25　　滋賀県　,58,7,51,29,12,31,13863,2271,34,63,2476,9019,5351
2501　大津　　　　　　　　,15,2,13,8,2,6,3862,850,8,37,656,2311,1123
25201 大津市　　　　,15,2,13,8,2,6,3862,850,8,37,656,2311,1123
2502　湖南　　　　　　　　,14,2,12,5,3,6,2913,239,6,-,327,2341,1348
25206 草津市　　　　,7,1,6,3,1,2,1228,123,-,-,238,867,420
25207 守山市　　　　,3,-,3,1,1,2,834,-,-,-,48,786,535
25208 栗東市　　　　,1,-,1,-,1,1,393,-,6,-,-,387,393
25210 野洲市　　　　,3,1,2,1,-,1,458,116,-,-,41,301,-
2503　甲賀　　　　　　　　,7,1,6,3,1,4,1538,407,4,-,299,828,413
25209 甲賀市　　　　,5,1,4,1,1,3,1239,407,4,-,99,729,413
25211 湖南市　　　　,2,-,2,2,-,1,299,-,-,-,200,99,-
2504　東近江　　　　　　　,11,1,10,6,2,6,2510,406,4,16,748,1336,727
25204 近江八幡市　　,3,1,2,1,1,1,925,350,4,-,102,469,407
25213 東近江市　　　,7,-,7,4,1,4,1435,56,-,16,606,757,320
25383 日野町　　　　,1,-,1,1,-,1,150,-,-,-,40,110,-
25384 竜王町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2505　湖東　　　　　　　　,4,-,4,3,1,4,1219,120,4,10,185,900,438
25202 彦根市　　　　,3,-,3,2,1,3,881,-,4,10,153,714,438
25425 愛荘町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
25441 豊郷町　　　　,1,-,1,1,-,1,338,120,-,-,32,186,-
25442 甲良町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
25443 多賀町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2506　湖北　　　　　　　　,4,1,3,2,2,3,1411,249,4,-,161,997,1092
25203 長浜市　　　　,4,1,3,2,2,3,1411,249,4,-,161,997,1092
25214 米原市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
2507　湖西　　　　　　　　,3,-,3,2,1,2,410,-,4,-,100,306,210
25212 高島市　　　　,3,-,3,2,1,2,410,-,4,-,100,306,210
26　　京都府　,160,11,149,49,17,86,31945,5627,36,183,3558,22541,7779
2601　丹後　　　　　　　　,6,-,6,4,1,4,1195,-,4,15,219,957,295
26205 宮津市　　　　,1,-,1,-,-,-,65,-,-,-,-,65,-
26212 京丹後市　　　,4,-,4,4,-,3,835,-,-,-,219,616,-
26463 伊根町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
